qs1,qs2,qs3,qs4,qs5,merge,partition
0.005522251129150391,0.00518798828125,0.004902839660644531,0.004288911819458008,0.005724191665649414,0.005185127258300781,0.006342172622680664
0.0035762786865234375,0.005012035369873047,0.004359006881713867,0.004156351089477539,0.004295825958251953,0.004609107971191406,0.0036499500274658203
0.0034317970275878906,0.00446009635925293,0.004153728485107422,0.004167795181274414,0.004313230514526367,0.004663944244384766,0.0036270618438720703
0.003520965576171875,0.004703998565673828,0.004661083221435547,0.004121303558349609,0.003940105438232422,0.0045528411865234375,0.0037679672241210938
0.003419160842895508,0.0044901371002197266,0.004439830780029297,0.004394054412841797,0.003951072692871094,0.004563808441162109,0.0035779476165771484
0.0037240982055664062,0.0043032169342041016,0.004873991012573242,0.00485992431640625,0.004026174545288086,0.004475116729736328,0.003442049026489258
0.0037941932678222656,0.004723072052001953,0.004139900207519531,0.0038461685180664062,0.0042340755462646484,0.005036830902099609,0.003634214401245117
0.0035331249237060547,0.004644155502319336,0.00467681884765625,0.004312038421630859,0.0039560794830322266,0.004801034927368164,0.0035161972045898438
0.003800630569458008,0.004520893096923828,0.0041882991790771484,0.004425048828125,0.004065752029418945,0.004633188247680664,0.0036759376525878906
0.0034978389739990234,0.00448918342590332,0.004940986633300781,0.0042018890380859375,0.004137992858886719,0.004514932632446289,0.003736734390258789
0.0036339759826660156,0.004056692123413086,0.004404783248901367,0.004142045974731445,0.004025936126708984,0.004446983337402344,0.0034880638122558594
0.0036678314208984375,0.004547119140625,0.004271984100341797,0.003915071487426758,0.004392862319946289,0.0045168399810791016,0.003759145736694336
0.003590822219848633,0.005421161651611328,0.004270792007446289,0.003835916519165039,0.004956245422363281,0.007030963897705078,0.004082918167114258
0.0037109851837158203,0.004628896713256836,0.0044977664947509766,0.004029035568237305,0.004155874252319336,0.004563331604003906,0.0035448074340820312
0.0035860538482666016,0.004841804504394531,0.004317045211791992,0.0040929317474365234,0.003962993621826172,0.004631996154785156,0.0036339759826660156
0.0037131309509277344,0.004296302795410156,0.004457235336303711,0.0040590763092041016,0.003950834274291992,0.0045931339263916016,0.003736734390258789
0.003178834915161133,0.004606962203979492,0.0044329166412353516,0.004431962966918945,0.004020214080810547,0.004595279693603516,0.0035347938537597656
0.003504037857055664,0.004261016845703125,0.004223823547363281,0.004041910171508789,0.004445075988769531,0.004383087158203125,0.003496885299682617
0.0034368038177490234,0.004411220550537109,0.004609823226928711,0.004316806793212891,0.004136800765991211,0.004698038101196289,0.0034508705139160156
0.0035147666931152344,0.004521846771240234,0.004279136657714844,0.00400090217590332,0.0038537979125976562,0.004513978958129883,0.0036268234252929688
0.003535032272338867,0.00444483757019043,0.004065036773681641,0.004053831100463867,0.004623889923095703,0.007495880126953125,0.004709959030151367
